Stock,1Y_Return,2Y_Return,3Y_Return,1Y_Alpha,2Y_Alpha,3Y_Alpha
META,38.94806138604274,150.91397152211246,353.17864235076337,27.054890037407183,109.3963932390149,291.28025850937246
IDCC,88.44541473982522,143.8249957073511,280.08206675628503,76.55224339118968,102.30741742425353,218.18368291489412
DELL,-12.481020541920792,137.35903790332816,217.2031509441248,-24.374191890556347,95.8414596202306,155.30476710273388
WFC,39.93281637833674,103.90273932078593,122.93939780002083,28.039645029701184,62.38516103768836,61.04101395862992
KLAC,5.946171338509227,100.14024825697247,202.93741868745906,-5.947000010126324,58.622669973874906,141.03903484606815
LLY,-15.3030869581091,75.58876319987922,143.21185105340354,-27.196258306744653,34.07118491678166,81.31346721201264
GILD,71.13032811778493,59.63702471116493,100.42608169960043,59.23715676914937,18.119446428067377,38.52769785820952
GOOG,-5.640322533249014,53.94293187050664,54.4279437452993,-17.533493881884567,12.425353587409077,-7.4704400960916
FIS,10.270444987422218,43.19288739164634,-8.313529900223678,-1.6227263612133331,1.675309108548774,-70.21191374161458
AMAT,-21.767469449354277,41.0986167118456,126.06319725982974,-33.66064079798983,-0.41896157125195543,64.16481341843883
FI,12.575286558025514,34.045233789926556,83.70234697620856,0.6821152093899627,-7.472344493171004,21.80396313481765
NOK,35.37797636480904,30.552305835792726,20.144090724341826,23.484805016173482,-10.965272447304834,-41.75429311704908
TXN,10.91486453995941,27.66284875618485,53.63179893404936,-0.9783068086761411,-13.85472952691271,-8.266584907341546
SNPS,-10.267457752325212,22.480476849823486,73.26373968764578,-22.16062910096076,-19.037101433274074,11.365355846254879
AMD,-22.09554431312447,21.496299024971723,79.32425076764899,-33.988715661760025,-20.021279258125837,17.42586692625808
GNRC,4.795233148091535,6.087446885929982,-32.81874266565695,-7.097938200544016,-35.43013139716758,-94.71712650704785
UIS,-0.34723015571050553,5.256715592411271,-65.58753197781986,-12.240401504346057,-36.26086269068629,-127.48591581921077
RMBS,1.0175292741284525,4.824557082116066,205.25071259413136,-10.875642074507098,-36.69302120098149,143.35232875274045
ROK,31.943668740695273,4.517681230325736,77.80496557161256,20.050497392059718,-36.99989705277182,15.906581730221646
GRAL,0.0,0.0,0.0,-11.893171348635551,-41.51757828309756,-61.8983838413909
BP,-4.500891857165914,-0.9547559723877269,32.57180619945111,-16.394063205801466,-42.472334255485286,-29.326577641939792
NVO,-49.56699709292274,-8.732340132384454,32.62978382107648,-61.460168441558295,-50.249918415482014,-29.268600020314423
MITK,-7.359707443950138,-8.868782615337413,7.931401684558878,-19.25287879258569,-50.38636089843497,-53.966982156832024
NICE,-0.4950183658501377,-14.96462076386656,-14.354409198494212,-12.388189714485689,-56.48219904696412,-76.25279303988512
REGN,-48.028037080363276,-22.116686766011,-10.848542082666762,-59.92120842899883,-63.63426504910856,-72.74692592405766
UNH,-37.92005102290009,-32.99622391165272,-39.14460546761963,-49.813222371535645,-74.51380219475028,-101.04298930901052
COUR,20.39381517403114,-34.65648724922916,-44.494819120898796,8.500643825395588,-76.17406553232672,-106.3932029622897
ILMN,-9.833143826172813,-46.24153423988394,-48.04365089340427,-21.726315174808363,-87.7591125229815,-109.94203473479517
EL,-15.385681543916105,-53.464726412413114,-62.92199648004551,-27.278852892551654,-94.98230469551068,-124.82038032143642
