Ticker,Company,Weight_%,1Y_Alpha,2Y_Alpha,3Y_Alpha
META,"Meta Platforms, Inc.",13.9407,27.054890037407183,109.3963932390149,291.28025850937246
REGN,"REGENERON PHARMACEUTICALS, INC.",9.7876,-59.92120842899883,-63.63426504910856,-72.74692592405766
FI,"FISERV, INC.",7.4736,0.6821152093899627,-7.472344493171004,21.80396313481765
GILD,"GILEAD SCIENCES, INC.",6.0693,59.23715676914937,18.119446428067377,38.52769785820952
MITK,"MITEK SYSTEMS, INC.",6.0428,-19.25287879258569,-50.38636089843497,-53.966982156832024
FIS,"FIDELITY NATIONAL INFORMATION SERVICES, INC.",5.7082,-1.6227263612133331,1.675309108548774,-70.21191374161458
IDCC,"InterDigital, Inc.",5.6708,76.55224339118968,102.30741742425353,218.18368291489412
COUR,"COURSERA, INC.",4.9494,8.500643825395588,-76.17406553232672,-106.3932029622897
AMAT,"APPLIED MATERIALS, INC.",3.7019,-33.66064079798983,-0.41896157125195543,64.16481341843883
KLAC,KLA Corporation,3.5918,-5.947000010126324,58.622669973874906,141.03903484606815
NICE,NICE LTD,3.2948,-12.388189714485689,-56.48219904696412,-76.25279303988512
WFC,WELLS FARGO & COMPANY,3.0735,28.039645029701184,62.38516103768836,61.04101395862992
AMD,"ADVANCED MICRO DEVICES, INC.",2.9403,-33.988715661760025,-20.021279258125837,17.42586692625808
LLY,ELI LILLY AND COMPANY,2.7125,-27.196258306744653,34.07118491678166,81.31346721201264
NVO,Novo Nordisk A/S,2.6726,-61.460168441558295,-50.249918415482014,-29.268600020314423
DELL,DELL TECHNOLOGIES INC.,2.4349,-24.374191890556347,95.8414596202306,155.30476710273388
BP,BP P.L.C.,2.0997,-16.394063205801466,-42.472334255485286,-29.326577641939792
NOK,Nokia Oyj,2.0104,23.484805016173482,-10.965272447304834,-41.75429311704908
RMBS,RAMBUS INC.,1.7872,-10.875642074507098,-36.69302120098149,143.35232875274045
EL,THE ESTEE LAUDER COMPANIES INC.,1.7506,-27.278852892551654,-94.98230469551068,-124.82038032143642
UIS,UNISYS CORPORATION,1.725,-12.240401504346057,-36.26086269068629,-127.48591581921077
ILMN,"ILLUMINA, INC.",1.7083,-21.726315174808363,-87.7591125229815,-109.94203473479517
GOOG,ALPHABET INC.,1.463,-17.533493881884567,12.425353587409077,-7.4704400960916
SNPS,"SYNOPSYS, INC.",1.2205,-22.16062910096076,-19.037101433274074,11.365355846254879
GRAL,"GRAIL, INC.",0.8973,-11.893171348635551,-41.51757828309756,-61.8983838413909
UNH,UNITEDHEALTH GROUP INCORPORATED,0.6003,-49.813222371535645,-74.51380219475028,-101.04298930901052
GNRC,GENERAC HOLDINGS INC.,0.5892,-7.097938200544016,-35.43013139716758,-94.71712650704785
TXN,TEXAS INSTRUMENTS INCORPORATED,0.0836,-0.9783068086761411,-13.85472952691271,-8.266584907341546
ROK,"ROCKWELL AUTOMATION, INC.",0.0,20.050497392059718,-36.99989705277182,15.906581730221646
