Company,Ticker,Weight_%,1Y_Return_%,1Y_Alpha_%,2Y_Return_%,2Y_Alpha_%,3Y_Return_%,3Y_Alpha_%
"Meta Platforms, Inc.",META,13.9407,38.94806138604274,27.054890037407183,150.91397152211246,109.3963932390149,353.17864235076337,291.28025850937246
"REGENERON PHARMACEUTICALS, INC.",REGN,9.7876,-48.028037080363276,-59.92120842899883,-22.116686766011,-63.63426504910856,-10.848542082666762,-72.74692592405766
"FISERV, INC.",FI,7.4736,12.575286558025514,0.6821152093899627,34.045233789926556,-7.472344493171004,83.70234697620856,21.80396313481765
"GILEAD SCIENCES, INC.",GILD,6.0693,71.13032811778493,59.23715676914937,59.63702471116493,18.119446428067377,100.42608169960043,38.52769785820952
"MITEK SYSTEMS, INC.",MITK,6.0428,-7.359707443950138,-19.25287879258569,-8.868782615337413,-50.38636089843497,7.931401684558878,-53.966982156832024
"FIDELITY NATIONAL INFORMATION SERVICES, INC.",FIS,5.7082,10.270444987422218,-1.6227263612133331,43.19288739164634,1.675309108548774,-8.313529900223678,-70.21191374161458
"InterDigital, Inc.",IDCC,5.6708,88.44541473982522,76.55224339118968,143.8249957073511,102.30741742425353,280.08206675628503,218.18368291489412
"COURSERA, INC.",COUR,4.9494,20.39381517403114,8.500643825395588,-34.65648724922916,-76.17406553232672,-44.494819120898796,-106.3932029622897
"APPLIED MATERIALS, INC.",AMAT,3.7019,-21.767469449354277,-33.66064079798983,41.0986167118456,-0.41896157125195543,126.06319725982974,64.16481341843883
KLA Corporation,KLAC,3.5918,5.946171338509227,-5.947000010126324,100.14024825697247,58.622669973874906,202.93741868745906,141.03903484606815
NICE LTD,NICE,3.2948,-0.4950183658501377,-12.388189714485689,-14.96462076386656,-56.48219904696412,-14.354409198494212,-76.25279303988512
WELLS FARGO & COMPANY,WFC,3.0735,39.93281637833674,28.039645029701184,103.90273932078593,62.38516103768836,122.93939780002083,61.04101395862992
"ADVANCED MICRO DEVICES, INC.",AMD,2.9403,-22.09554431312447,-33.988715661760025,21.496299024971723,-20.021279258125837,79.32425076764899,17.42586692625808
ELI LILLY AND COMPANY,LLY,2.7125,-15.3030869581091,-27.196258306744653,75.58876319987922,34.07118491678166,143.21185105340354,81.31346721201264
Novo Nordisk A/S,NVO,2.6726,-49.56699709292274,-61.460168441558295,-8.732340132384454,-50.249918415482014,32.62978382107648,-29.268600020314423
DELL TECHNOLOGIES INC.,DELL,2.4349,-12.481020541920792,-24.374191890556347,137.35903790332816,95.8414596202306,217.2031509441248,155.30476710273388
BP P.L.C.,BP,2.0997,-4.500891857165914,-16.394063205801466,-0.9547559723877269,-42.472334255485286,32.57180619945111,-29.326577641939792
Nokia Oyj,NOK,2.0104,35.37797636480904,23.484805016173482,30.552305835792726,-10.965272447304834,20.144090724341826,-41.75429311704908
RAMBUS INC.,RMBS,1.7872,1.0175292741284525,-10.875642074507098,4.824557082116066,-36.69302120098149,205.25071259413136,143.35232875274045
THE ESTEE LAUDER COMPANIES INC.,EL,1.7506,-15.385681543916105,-27.278852892551654,-53.464726412413114,-94.98230469551068,-62.92199648004551,-124.82038032143642
UNISYS CORPORATION,UIS,1.725,-0.34723015571050553,-12.240401504346057,5.256715592411271,-36.26086269068629,-65.58753197781986,-127.48591581921077
"ILLUMINA, INC.",ILMN,1.7083,-9.833143826172813,-21.726315174808363,-46.24153423988394,-87.7591125229815,-48.04365089340427,-109.94203473479517
ALPHABET INC.,GOOG,1.463,-5.640322533249014,-17.533493881884567,53.94293187050664,12.425353587409077,54.4279437452993,-7.4704400960916
"SYNOPSYS, INC.",SNPS,1.2205,-10.267457752325212,-22.16062910096076,22.480476849823486,-19.037101433274074,73.26373968764578,11.365355846254879
"GRAIL, INC.",GRAL,0.8973,0.0,-11.893171348635551,0.0,-41.51757828309756,0.0,-61.8983838413909
UNITEDHEALTH GROUP INCORPORATED,UNH,0.6003,-37.92005102290009,-49.813222371535645,-32.99622391165272,-74.51380219475028,-39.14460546761963,-101.04298930901052
GENERAC HOLDINGS INC.,GNRC,0.5892,4.795233148091535,-7.097938200544016,6.087446885929982,-35.43013139716758,-32.81874266565695,-94.71712650704785
TEXAS INSTRUMENTS INCORPORATED,TXN,0.0836,10.91486453995941,-0.9783068086761411,27.66284875618485,-13.85472952691271,53.63179893404936,-8.266584907341546
"ROCKWELL AUTOMATION, INC.",ROK,0.0,31.943668740695273,20.050497392059718,4.517681230325736,-36.99989705277182,77.80496557161256,15.906581730221646
